EntryID,LemmaID,SignFrequency(M),SignFrequency(SD),SignFrequency(Z),SignFrequency(N),PercentUnknown,SignFrequency(M-Native),SignFrequency(SD-Native),SignFreqZ(native),SignFrequency(N-Native),PercentUnknown(Native),GlossConfirmation,PercentGlossAgreement,PercentGlossAgreement(Native),Iconicity(M),Iconicity(SD),Iconicity(Z),Iconicity(N),SubtLexUSLog10WF,LexicalClass,Compound,Initialized,FingerspelledLoanSign,SignOnset(ms),SignOffset(ms),SignLength(ms),ClipLength(ms),SignType,MajorLocation,MinorLocation,SelectedFingers,Flexion,Movement,MinimalNeighborhoodDensity,MaximalNeighborhoodDensity,Parameter-BasedNeighborhoodDensity,SignTypeFrequency,MajorLocationFrequency,MinorLocationFrequency,SelectedFingersFrequency,FlexionFrequency,MovementFrequency,HandshapeFrequency,,Batch,Item,List,Repeat.1
dancer,dancer,3.185,1.495,-0.353631021,27,0.00%,3,1.414,-0.425790113,13,0.00%,0,,,2.4,2.074,-0.351,30,2.92,Noun,1,0,0,467.13,1401.4,934.27,1701.7,AsymmetricalDifferentHandshape,Hand,Palm,im,1,BackAndForth,781,40,11,178,216,91,129,487,354,66,,A,34,2,0
dart,dart,1.643,0.951,-1.575628203,28,6.67%,1.778,1.003,-1.568333062,18,0.00%,1,67.86%,77.78%,6.389,2.075,1.668,36,1.996,Noun,0,0,0,767.43,1668.34,900.9,2469.14,OneHanded,Neutral,Neutral,i,6,BackAndForth,840,26,7,388,349,345,265,74,354,42,,C,29,3,0
day,day,4.733,1.507,0.22291459,30,0.00%,4.944,1.474,0.284750515,18,0.00%,0,,,2.7,1.921,-0.101,30,4.612,Noun,0,0,0,500.5,900.9,400.4,1835.17,AsymmetricalDifferentHandshape,Neutral,Neutral,i,1,Curved,858,8,4,178,349,345,265,487,125,134,,C,44,1,0
death,death,4.484,1.749,0.252377679,31,0.00%,4.5,1.383,0.306733407,18,0.00%,0,,,2.568,2.048,-0.27,37,4.043,Noun,0,0,0,667.33,1301.3,633.97,1267.94,SymmetricalOrAlternating,Neutral,Neutral,imrp,1,Curved,867,78,9,332,349,345,455,487,125,192,,A,76,1,0
decide_1,decide,4.24,1.48,-0.20669691,25,0.00%,4,1.468,-0.368099343,14,0.00%,0,,,2.3,2.045,-0.229,30,3.41,Verb,1,0,0,567.23,1067.73,500.5,1868.54,Other,Head,Eye,i,1,None,751,23,22,17,300,61,265,487,180,134,,B,74,2,0
decide_2,decide,4.962,1.183,0.460686776,26,0.00%,5.375,1.088,0.655498056,16,0.00%,1,61.54%,62.50%,1.87,2.009,-0.538,23,3.41,Verb,0,0,0,667.33,1568.24,900.9,2002,SymmetricalOrAlternating,Neutral,Neutral,i,1,None,835,32,5,332,349,345,265,487,180,134,,D,57,3,0
deep,deep,3.567,1.331,-0.439642659,30,0.00%,3.667,1.283,-0.463714219,18,0.00%,0,,,4.5,2.075,0.719,36,2.894,Adjective,0,0,0,533.87,934.27,400.4,2135.47,AsymmetricalDifferentHandshape,Hand,Palm,i,4,Straight,562,14,1,178,216,91,265,52,177,16,,C,6,3,0
deer,deer,3.36,1.823,-0.339506375,25,0.00%,3.267,1.751,-0.345425951,15,0.00%,0,,,5.381,2.153,0.827,21,2.648,Noun,0,0,0,433.77,1034.37,600.6,1167.84,SymmetricalOrAlternating,Head,Forehead,imrp,1,BackAndForth,922,65,13,332,300,26,455,487,354,192,,A,60,3,0
delicious,delicious,5.48,1.229,0.488451527,25,0.00%,5.643,1.499,0.541367409,14,0.00%,0,,,2.259,2.016,-0.32,27,3.041,Adjective,0,0,0,633.97,1001,367.03,1568.24,OneHanded,Head,Mouth,m,3,Straight,603,5,1,388,300,40,30,88,177,23,,B,82,1,0
demand,demand,4.5,1.476,0.217791166,26,0.00%,4.75,1.39,0.307199145,16,0.00%,0,,,2,2.009,-0.505,25,2.942,Noun,0,0,0,600.6,1401.4,800.8,2068.74,Other,Hand,Palm,i,2,Straight,552,4,4,17,216,91,265,76,177,39,,D,80,3,0
dentist,dentist,2.677,1.4,-0.699053151,31,0.00%,2.778,1.517,-0.616882311,18,0.00%,0,,,3.923,2.048,0.406,39,2.757,Noun,0,0,0,467.13,834.17,367.03,1101.1,OneHanded,Head,Mouth,imrp,7,BackAndForth,846,34,2,388,300,40,455,82,354,72,,A,14,1,0
deny,deny,4,1.544,-0.089113505,27,0.00%,3.706,1.448,-0.295571506,17,0.00%,1,66.67%,64.71%,2.839,1.821,-0.326,31,3.038,Verb,0,0,0,600.6,1468.14,867.53,2135.47,SymmetricalOrAlternating,Head,UnderChin,thumb,1,BackAndForth,867,15,4,332,300,7,54,487,354,44,,D,39,2,0
deodorant,deodorant,3.968,1.923,-0.020112625,31,0.00%,3.944,1.924,0.012879084,18,0.00%,0,,,6.583,2.048,1.663,36,1.919,Noun,0,0,0,467.13,1067.73,600.6,1468.14,OneHanded,Body,Other,imrp,7,BackAndForth,824,18,6,388,100,74,455,82,354,72,,A,86,1,0
department,department,4.567,1.547,0.105299405,30,0.00%,4.556,1.723,-0.003019336,18,0.00%,0,,,1.63,2.025,-0.566,27,3.513,Noun,0,1,0,567.23,967.63,400.4,2135.47,SymmetricalOrAlternating,Neutral,Neutral,mrp,6,Curved,550,3,0,332,349,345,4,74,125,4,,C,33,2,0
desert,desert,2.917,1.613,-0.607562235,24,4.00%,3.214,1.578,-0.413305441,14,6.67%,0,,,1.81,2.153,-0.808,21,3.155,Noun,1,0,0,333.67,1201.2,867.53,1434.77,OneHanded,Head,Chin,i,5,Straight,685,18,0,388,300,61,265,108,177,11,,A,8,3,0
devil,devil,3.355,1.473,-0.319743225,31,0.00%,3.111,1.41,-0.403376412,18,0.00%,0,,,3.378,2.048,0.111,37,3.324,Noun,0,0,0,633.97,1267.94,633.97,1868.54,OneHanded,Head,Eye,im,1,None,774,51,9,388,300,61,129,487,180,66,,A,79,1,0
diamond,diamond,2.613,1.23,-0.743670489,31,0.00%,2.722,1.32,-0.65429235,18,0.00%,0,,,1.816,2.048,-0.656,38,3.023,Noun,0,1,0,1267.94,2035.37,767.43,3370.04,AsymmetricalDifferentHandshape,Hand,FingerBack,mrp,6,BackAndForth,541,4,0,178,216,21,4,74,354,4,,A,66,1,0
diaper,diaper,3.407,1.6,-0.241129597,27,0.00%,3.154,1.519,-0.341629325,13,0.00%,1,100.00%,100.00%,3.3,1.821,-0.016,30,2.34,Noun,0,0,0,500.5,1201.2,700.7,1234.57,SymmetricalOrAlternating,Body,Hips,im,1,BackAndForth,843,15,0,332,100,6,129,487,354,66,,A,2,2,0
dice,dice,3.222,1.625,-0.501640957,27,0.00%,3.059,1.345,-0.627822995,17,0.00%,0,,,6.129,2.166,1.472,31,2.728,Verb,0,0,0,600.6,1401.4,800.8,1968.64,OneHanded,Neutral,Neutral,imrp,7,BackAndForth,867,30,12,388,349,345,455,82,354,72,,D,36,2,0
die,die,4.346,1.672,0.119485801,26,0.00%,4.706,1.359,0.255192907,17,0.00%,0,,,2.839,2.166,-0.049,31,4.124,Verb,0,0,0,633.97,1401.4,767.43,2068.74,SymmetricalOrAlternating,Neutral,Neutral,imrp,1,Curved,867,78,9,332,349,345,455,487,125,192,,D,21,2,0
dinosaur,dinosaur,2.333,1.348,-0.874248132,30,3.23%,2.235,1.393,-0.857822889,17,5.56%,1,100.00%,100.00%,3.564,2.048,0.192,39,2.31,Noun,0,0,0,333.67,1267.94,934.27,1801.8,AsymmetricalDifferentHandshape,Neutral,Neutral,imrp,4,BackAndForth,823,9,3,178,349,345,455,52,354,30,,A,31,1,0
dirty,dirty,5.533,1.074,0.68010317,30,0.00%,5.611,1.037,0.615360497,18,0.00%,0,,,2.75,2.075,-0.12,36,3.53,Adjective,0,0,0,867.53,1534.87,667.33,2736.07,OneHanded,Head,UnderChin,imrp,1,None,889,82,10,388,300,7,455,487,180,192,,C,26,3,0
disagreement,disagreement,5.2,1.291,0.351482772,25,0.00%,4.929,1.207,0.171687846,14,0.00%,0,,,2.333,2.045,-0.211,30,1.898,Noun,1,0,0,500.5,934.27,433.77,1768.44,Other,Head,Eye,i,1,None,751,23,22,17,300,61,265,487,180,134,,B,66,2,0
disappear,disappear,3.741,1.457,-0.212866678,27,0.00%,3.75,1.693,-0.212850912,16,0.00%,0,,,3,2.025,0.002,35,3.029,Verb,0,0,0,867.53,1468.14,600.6,2102.1,AsymmetricalDifferentHandshape,Hand,Other,i,1,Straight,756,36,10,178,216,74,265,487,177,134,,D,36,1,0
disney,disney,3.167,1.606,-0.579370104,24,7.69%,2.875,1.088,-0.751920845,16,0.00%,0,,,1.2,2.009,-0.874,25,2.117,Name,0,1,0,734.07,1801.8,1067.73,2268.94,OneHanded,Head,Chin,m,6,None,569,5,1,388,300,63,30,74,180,5,,D,35,3,0
dive,dive,2.37,1.334,-1.030786694,27,0.00%,2.294,0.985,-1.078633996,17,0.00%,0,,,4.065,2.166,0.514,31,2.816,Verb,0,0,0,767.43,1634.97,867.53,2135.47,AsymmetricalDifferentHandshape,Hand,FingerBack,im,3,Curved,475,4,0,178,216,21,129,88,125,8,,D,29,2,0
divorce,divorce,4.1,1.423,-0.153248311,30,0.00%,4.278,1.179,-0.163664614,18,0.00%,0,,,2.933,1.921,0.006,30,3.223,Noun,0,1,0,567.23,834.17,266.93,2068.74,SymmetricalOrAlternating,Neutral,Neutral,i,1,Straight,840,41,10,332,349,345,265,487,177,134,,C,63,1,0
doctor,doctor,4.13,1.984,0.058942181,23,8.00%,3.929,2.056,0.02427135,14,6.67%,0,,,3.81,2.153,0.123,21,4.129,Noun,0,0,0,400.4,1001,600.6,1134.47,AsymmetricalDifferentHandshape,Hand,Heel,imrp,4,BackAndForth,742,27,4,178,216,5,455,52,354,30,,A,20,3,0
dog,dog,6.258,1.237,1.188947558,31,0.00%,6.333,1.283,1.239214048,18,0.00%,0,,,1.737,2.048,-0.694,38,3.993,Noun,0,0,0,367.03,1001,633.97,1167.84,OneHanded,Neutral,Neutral,im,Stacked,None,727,5,1,388,349,345,129,13,180,13,,A,56,1,0
doll,doll,3.333,1.882,-0.568685901,30,0.00%,3.444,1.854,-0.601690619,18,0.00%,0,,,1.222,2.025,-0.751,27,3.102,Noun,0,0,0,900.9,1801.8,900.9,2669.34,OneHanded,Head,CheekNose,i,2,BackAndForth,760,34,8,388,300,45,265,76,354,39,,C,49,2,0
dolphin,dolphin,2.5,1.142,-0.787431631,24,4.00%,2.357,1.277,-0.807413735,14,6.67%,0,,,5.952,2.153,1.094,21,2.152,Noun,0,0,0,700.7,2168.84,1468.14,2736.07,AsymmetricalDifferentHandshape,Arm,ForearmUlnar,im,Crossed,BackAndForth,534,0,0,178,27,12,129,13,354,9,,A,57,3,0
dont_mind,dont_mind,5.84,1.179,0.763564532,25,0.00%,5.714,1.383,0.630839608,14,0.00%,0,,,3.433,1.948,0.293,30,NA,Verb,0,0,0,900.9,1167.84,266.93,2002,OneHanded,Head,CheekNose,i,1,Curved,807,57,4,388,300,45,265,487,125,134,,B,33,3,0
door,door,6.32,1.03,1.233461342,25,0.00%,6.4,0.828,1.29886086,15,0.00%,0,,,3.619,2.153,0.005,21,4.173,Noun,0,0,0,400.4,1034.37,633.97,1201.2,AsymmetricalSameHandshape,Hand,FingerRadial,imrp,1,BackAndForth,883,49,18,78,216,33,455,487,354,192,,A,52,3,0
dormitory,dormitory,4.323,1.492,0.16500615,31,0.00%,4.444,1.542,0.276186751,18,0.00%,0,,,1.108,2.048,-0.99,37,1.716,Noun,0,1,0,333.67,1034.37,700.7,1468.14,OneHanded,Head,CheekNose,mrp,6,Curved,551,2,0,388,300,45,4,74,125,4,,A,59,1,0
doubt,doubt,5.44,1.325,0.503453079,25,0.00%,5.5,1.557,0.509008174,14,0.00%,0,,,2.185,2.016,-0.337,27,3.506,Verb,0,0,0,600.6,1034.37,433.77,1735.07,OneHanded,Head,CheekNose,im,1,None,774,51,9,388,300,61,129,487,180,66,,B,57,1,0
download,download,3.138,1.977,-0.70889104,29,3.33%,3.056,2.155,-0.844386708,18,0.00%,1,96.55%,94.44%,2.667,2.075,-0.144,36,2.228,Verb,0,1,1,633.97,1167.84,533.87,2202.2,SymmetricalOrAlternating,Neutral,Neutral,mrp,6,Straight,589,2,0,332,349,345,4,74,180,4,,C,46,3,0
downsize_1,downsize,2.308,1.258,-1.198079694,26,13.33%,2.067,1.223,-1.413976614,15,16.67%,1,46.15%,33.33%,5.484,1.821,1.095,31,0.954,Verb,0,0,0,433.77,1167.84,734.07,2002,SymmetricalOrAlternating,Neutral,Neutral,i,1,Straight,840,41,10,332,349,345,265,487,177,134,,C,55,1,0
downsize_2,downsize,4.111,1.502,-0.007664026,27,0.00%,3.941,1.478,-0.146085526,17,0.00%,1,51.85%,47.06%,5.226,1.821,0.978,31,0.954,Verb,0,0,0,734.07,1768.44,1034.37,2369.04,SymmetricalOrAlternating,Neutral,Neutral,i,1,Straight,840,41,10,332,349,345,265,487,177,134,,D,58,2,0
draw,draw,4.741,1.678,0.365493221,27,0.00%,4.824,1.468,0.362802638,17,0.00%,0,,,5,2.166,0.938,31,3.314,Verb,0,0,0,667.33,1434.77,767.43,2002,AsymmetricalDifferentHandshape,Hand,Palm,p,1,BackAndForth,752,26,3,178,216,91,41,487,354,38,,D,63,2,0
drawer,drawer,2.286,1.793,-0.9736484,21,32.26%,2.231,1.833,-0.947410474,13,27.78%,0,,,3.417,2.048,0.137,36,2.822,Noun,0,0,0,700.7,1568.24,867.53,1968.64,SymmetricalOrAlternating,Neutral,Neutral,imrp,5,BackAndForth,779,85,8,332,349,345,455,108,354,89,,A,82,1,0
dream,dream,4.583,1.316,-0.069837424,24,0.00%,4.385,1.261,-0.167641622,13,0.00%,0,,,3.233,2.045,0.237,30,3.832,Noun,0,0,0,500.5,934.27,433.77,1534.87,OneHanded,Head,Eye,i,1,Straight,816,67,12,388,300,61,265,487,177,134,,B,44,2,0
dress,dress,4.72,1.568,0.374691813,25,0.00%,4.467,1.457,0.281020334,15,0.00%,0,,,5.048,2.153,0.681,21,3.648,Noun,0,0,0,300.3,834.17,533.87,1234.57,SymmetricalOrAlternating,Body,Clavicle,imrp,1,Curved,842,29,4,332,100,41,455,487,125,192,,A,46,3,0
drill,drill,2.808,1.789,-0.735413613,26,3.70%,2.824,1.667,-0.751112314,17,0.00%,0,,,4.419,2.166,0.668,31,2.846,Noun,0,0,0,533.87,1234.57,700.7,1801.8,AsymmetricalDifferentHandshape,Hand,Other,i,1,Straight,756,36,10,178,216,74,265,487,177,134,,D,44,2,0
drink,drink,6.348,0.935,1.067514084,23,0.00%,6.692,0.63,1.188763561,13,0.00%,0,,,7,2.045,2.113,30,4.101,Noun,0,0,0,433.77,734.07,300.3,1401.4,OneHanded,Head,Mouth,imrp,5,Straight,802,31,4,388,300,40,455,108,177,89,,B,12,2,0
drop,drop,4.333,1.688,0.014688991,30,0.00%,4.667,1.495,0.117693259,18,0.00%,0,,,5.5,2.075,1.207,36,3.824,Verb,0,0,0,500.5,800.8,300.3,1801.8,SymmetricalOrAlternating,Neutral,Neutral,imrp,7,Straight,725,48,7,332,349,345,455,82,177,72,,C,52,3,0
drown,drown,1.875,1.116,-1.29999128,24,11.11%,1.5,0.76,-1.437645094,14,12.50%,0,,,2.611,2.025,-0.179,36,2.733,Verb,0,0,0,667.33,1568.24,900.9,2168.84,AsymmetricalDifferentHandshape,Hand,Palm,imrp,7,Curved,658,12,1,178,216,91,455,82,125,72,,D,17,1,0
drum,drum,2,1.291,-1.057959842,25,0.00%,1.733,1.033,-1.150113132,15,0.00%,0,,,6.048,2.153,1.152,21,2.637,Noun,0,0,0,567.23,1267.94,700.7,2302.3,SymmetricalOrAlternating,Neutral,Neutral,i,2,BackAndForth,765,27,8,332,349,345,265,76,354,39,,A,75,3,0
drunk,drunk,3.967,1.671,-0.232474656,30,0.00%,4.333,1.715,-0.116470457,18,0.00%,0,,,1.639,2.075,-0.645,36,3.592,Adjective,0,0,0,500.5,967.63,467.13,1901.9,OneHanded,Head,Other,thumb,1,Curved,758,20,2,388,300,74,54,487,125,44,,C,77,3,0
dryer,dryer,3.333,1.788,-0.650777831,30,0.00%,3.611,1.883,-0.518031567,18,0.00%,1,100.00%,100.00%,3.4,1.921,0.249,30,2.365,Noun,1,0,0,433.77,600.6,166.83,2435.77,OneHanded,Head,Chin,i,1,Straight,816,67,12,388,300,63,265,487,177,134,,C,7,1,0
duck,duck,3.37,1.621,-0.453958449,27,0.00%,2.875,1.5,-0.767517636,16,0.00%,1,100.00%,100.00%,4.5,2.025,0.743,36,3.102,Noun,0,0,0,567.23,1334.67,767.43,1901.9,OneHanded,Head,Mouth,im,4,None,600,14,1,388,300,40,129,52,180,5,,D,79,1,0
dumb,dumb,4.963,1.372,0.618467944,27,0.00%,4.846,1.405,0.546952429,13,0.00%,1,62.96%,76.92%,4.333,2.074,0.608,30,3.38,Adjective,0,0,0,433.77,834.17,400.4,1267.94,OneHanded,Head,Forehead,imrp,7,Straight,796,23,2,388,300,26,455,82,177,72,,A,28,2,0
eagle,eagle,2.846,1.488,-0.727070187,26,0.00%,3.063,1.526,-0.587844586,16,0.00%,1,100.00%,100.00%,2.292,2.009,-0.338,24,2.769,Noun,0,0,0,633.97,1201.2,567.23,1801.8,OneHanded,Head,UpperLip,i,2,BackAndForth,760,34,8,388,300,7,265,76,354,39,,D,66,3,0
ear,ear,2.704,1.353,-0.79700962,27,0.00%,2.294,0.985,-1.046311351,17,0.00%,0,,,6.833,2.166,1.816,30,3.213,Noun,0,0,0,433.77,1234.57,800.8,1868.54,OneHanded,Head,Other,i,6,BackAndForth,760,35,2,388,300,74,265,74,354,42,,D,71,2,0
earn,earn,4.207,1.32,-0.081693047,29,0.00%,4.588,1.064,0.047253097,17,0.00%,1,62.07%,70.59%,1.618,2.075,-0.634,34,2.894,Verb,0,0,0,433.77,1001,567.23,1835.17,AsymmetricalDifferentHandshape,Hand,Palm,imrp,5,Curved,658,15,2,178,216,91,455,108,125,89,,C,55,3,0
earring,earring,3.867,1.676,-0.295259603,30,0.00%,4.556,1.688,0.016601132,18,0.00%,0,,,6.528,2.075,1.747,36,2.143,Noun,0,0,0,600.6,1101.1,500.5,2068.74,SymmetricalOrAlternating,Head,Other,i,5,None,778,5,0,332,300,74,265,108,180,11,,C,11,3,0
earth,earth,3.6,1.329,-0.446470065,30,0.00%,3.889,1.023,-0.365395946,18,0.00%,1,93.33%,94.44%,1.417,2.075,-0.738,36,3.705,Noun,0,0,0,467.13,967.63,500.5,1801.8,AsymmetricalDifferentHandshape,Hand,PalmBack,m,5,BackAndForth,589,5,0,178,216,24,30,108,354,2,,C,2,3,0
earthquake,earthquake,3.64,2.018,-0.174522023,25,0.00%,3.733,1.944,-0.08558078,15,0.00%,0,,,3.81,2.153,0.108,21,2.513,Noun,1,0,0,300.3,1234.57,934.27,1501.5,AsymmetricalDifferentHandshape,Hand,PalmBack,m,3,None,447,5,0,178,216,24,30,88,180,23,,A,39,3,0
east,east,4.077,1.324,-0.016705943,26,0.00%,4.375,1.025,0.100650261,16,0.00%,0,,,2.375,2.009,-0.31,24,3.403,Noun,0,1,0,633.97,1334.67,700.7,2002,OneHanded,Neutral,Neutral,imrp,2,Straight,853,8,1,388,349,345,455,76,177,18,,D,82,3,0
easy,easy,5.63,1.214,0.83633112,27,0.00%,5.688,1.302,0.839856747,16,0.00%,0,,,2,2.025,-0.479,36,4.132,Adjective,0,0,0,467.13,1167.84,700.7,1868.54,AsymmetricalSameHandshape,Hand,FingerBack,imrp,1,BackAndForth,883,49,18,78,216,21,455,487,354,192,,D,70,1,0
eat_1,eat,6.84,0.624,1.354965162,25,0.00%,6.786,0.802,1.233383703,14,0.00%,1,80.00%,85.71%,6.1,2.045,1.641,30,4.109,Verb,0,0,0,467.13,867.53,400.4,1501.5,OneHanded,Head,Mouth,imrp,6,BackAndForth,853,32,2,388,300,40,455,74,354,20,,B,2,2,0
eat_2,eat,6.68,0.557,1.244699625,25,0.00%,6.857,0.363,1.284234125,14,0.00%,1,72.00%,71.43%,5.867,1.948,1.53,30,4.109,Verb,0,0,0,333.67,734.07,400.4,1768.44,OneHanded,Head,Mouth,imrp,6,BackAndForth,853,32,2,388,300,40,455,74,354,20,,B,82,3,0
egg,egg,5.44,1.502,0.772128804,25,0.00%,5.667,1.047,0.929545848,15,0.00%,1,100.00%,100.00%,1.571,2.153,-0.924,21,3.124,Noun,0,0,0,333.67,867.53,533.87,1234.57,SymmetricalOrAlternating,Neutral,Neutral,im,1,BackAndForth,861,54,7,332,349,345,129,487,354,66,,A,11,3,0
ego,ego,2.2,1.436,-1.059753525,20,22.22%,2.273,1.421,-0.999205142,11,25.00%,1,55.00%,50.00%,3.194,1.821,-0.095,31,2.583,Noun,0,0,0,533.87,2035.37,1501.5,2969.64,OneHanded,Body,TorsoTop,p,1,Circular,744,4,0,388,100,18,41,487,111,38,,D,14,1,0
egypt,egypt,2.276,1.601,-1.230566462,29,0.00%,2.444,1.464,-1.22678552,18,0.00%,0,,,2.222,2.025,-0.269,27,2.433,Name,0,0,0,700.7,1067.73,367.03,1901.9,OneHanded,Head,Forehead,i,2,BackAndForth,760,34,8,388,300,26,265,76,354,39,,C,42,2,0
electrician,electrician,3.148,1.769,-0.398278215,27,0.00%,3.231,1.787,-0.334878687,13,0.00%,1,88.89%,84.62%,1.3,2.074,-0.843,30,1.887,Noun,1,0,0,433.77,1201.2,767.43,1368.04,SymmetricalOrAlternating,Neutral,Neutral,i,2,BackAndForth,765,27,8,332,349,345,265,76,354,39,,A,5,2,0
elegance,elegance,4.231,1.275,0.060305641,26,0.00%,4.313,1.352,0.075832025,16,0.00%,0,,,1.875,2.009,-0.57,24,1.82,Noun,0,0,0,667.33,1401.4,734.07,1935.27,OneHanded,Body,TorsoMid,imrp,1,Circular,889,13,3,388,100,6,455,487,111,192,,D,42,3,0
elephant,elephant,3.259,1.789,-0.31911864,27,0.00%,2.846,1.519,-0.523947234,13,0.00%,0,,,5.5,2.074,1.164,30,2.764,Noun,0,0,0,433.77,967.63,533.87,1334.67,OneHanded,Head,CheekNose,imrp,1,Other,880,38,2,388,300,45,455,487,46,192,,A,59,2,0
email,email,5.292,1.334,0.407557924,24,0.00%,5.154,1.625,0.285510246,13,0.00%,0,,,1.333,1.948,-0.745,30,2.029,Noun,0,0,0,433.77,1034.37,600.6,1601.6,AsymmetricalDifferentHandshape,Neutral,Neutral,i,1,BackAndForth,882,18,7,178,349,345,265,487,354,134,,B,83,3,0
embarrass,embarrass,3.7,1.393,-0.372608153,30,0.00%,4,1.495,-0.303487241,18,0.00%,0,,,3.667,1.921,0.404,30,2.654,Verb,0,0,0,633.97,1167.84,533.87,2335.67,SymmetricalOrAlternating,Head,Other,imrp,1,Circular,893,22,4,332,300,74,455,487,111,192,,C,14,1,0
emotion,emotion,4.96,1.541,0.197617617,23,0.00%,4.5,1.506,-0.092846349,14,0.00%,1,65.22%,64.29%,2.733,1.948,-0.068,30,2.627,Noun,0,1,0,467.13,1301.3,834.17,1735.07,SymmetricalOrAlternating,Body,Clavicle,imrp,2,Circular,696,6,0,332,100,41,455,76,111,18,,B,5,3,0
emperor,emperor,1.407,0.888,-1.815982744,27,6.67%,1.733,1.1,-1.666984864,15,11.11%,1,74.07%,80.00%,2.25,2.075,-0.337,36,3.781,Noun,0,0,0,467.13,1067.73,600.6,2369.04,OneHanded,Body,Clavicle,imrp,2,Curved,776,5,1,388,100,41,455,76,125,18,,C,5,3,0
engagement,engagement,2.2,1.436,-1.635280951,20,20.00%,2.3,1.337,-1.474716752,10,28.57%,0,,,2.63,2.016,-0.132,27,2.824,Noun,0,0,0,367.03,867.53,500.5,1801.8,AsymmetricalDifferentHandshape,Hand,FingerBack,im,2,Circular,439,8,0,178,216,21,129,76,111,19,,B,84,1,0
engineer,engineer,3.48,2.22,-0.249537161,25,0.00%,3.133,2.031,-0.396893848,15,0.00%,1,96.00%,93.33%,1.857,2.153,-0.795,21,2.776,Noun,1,0,0,433.77,1301.3,867.53,1501.5,SymmetricalOrAlternating,Neutral,Neutral,p,1,None,772,18,3,332,349,345,41,487,180,38,,A,14,3,0
english,english,4.645,1.496,0.325702032,31,0.00%,4.389,1.378,0.233878474,18,0.00%,0,,,1.026,2.048,-1.027,39,3.577,Noun,0,0,0,433.77,1067.73,633.97,1101.1,AsymmetricalSameHandshape,Hand,PalmBack,imrp,5,BackAndForth,730,22,2,78,216,24,455,108,354,89,,A,11,1,0
enjoy,enjoy,5.692,1.087,0.885096898,26,0.00%,5.688,1.302,0.82705808,16,0.00%,0,,,3.958,2.009,0.475,24,3.626,Verb,0,0,0,533.87,1434.77,900.9,1835.17,SymmetricalOrAlternating,Body,TorsoTop,imrp,1,Circular,846,28,3,332,100,18,455,487,111,192,,D,33,3,0
enough,enough,4.741,1.483,0.320699388,27,0.00%,4.938,1.611,0.40448046,16,0.00%,1,100.00%,100.00%,3.694,2.025,0.337,36,4.408,Adverb,0,0,0,600.6,1001,400.4,1801.8,AsymmetricalDifferentHandshape,Hand,FingerRadial,imrp,1,Straight,835,35,5,178,216,33,455,487,177,192,,D,84,1,0
envelope,envelope,1.913,0.848,-1.31980476,23,11.11%,1.933,0.799,-1.270912065,15,11.76%,0,,,3.806,2.166,0.38,31,2.711,Noun,1,0,0,600.6,1968.64,1368.04,2569.24,OneHanded,Head,Mouth,imrp,1,Circular,896,50,4,388,300,40,455,487,111,192,,D,20,2,0
equal,equal,4.7,1.466,0.20727707,30,0.00%,5.056,1.474,0.318409406,18,0.00%,1,50.00%,50.00%,4.533,1.921,0.873,30,2.834,Adjective,0,0,0,533.87,1067.73,533.87,2202.2,SymmetricalOrAlternating,Neutral,Neutral,imrp,4,BackAndForth,781,62,3,332,349,345,455,52,354,30,,C,52,1,0
eraser,eraser,4.633,1.712,0.162495572,30,0.00%,4.444,1.79,-0.029833827,18,0.00%,0,,,4.533,1.921,0.853,30,1.716,Noun,0,0,0,567.23,1001,433.77,2035.37,AsymmetricalDifferentHandshape,Hand,Palm,imrp,7,BackAndForth,739,28,9,178,216,91,455,82,354,72,,C,72,1,0
europe,europe,3.138,1.747,-0.706397237,29,3.33%,3.412,1.906,-0.691293912,17,5.56%,0,,,1.037,2.025,-0.838,27,3.136,Name,0,1,0,633.97,1368.04,734.07,2535.87,OneHanded,Head,Eye,imrp,2,Circular,812,11,1,388,300,61,455,76,111,18,,C,10,2,0
evaluate,evaluate,4.76,1.964,0.425572416,25,0.00%,4.533,2.031,0.35680297,15,0.00%,1,44.00%,46.67%,2.952,2.153,-0.323,21,1.949,Verb,0,1,0,300.3,1401.4,1101.1,1835.17,SymmetricalOrAlternating,Neutral,Neutral,imrp,2,BackAndForth,791,67,4,332,349,345,455,76,354,18,,A,15,3,0
evening,night,6.556,0.751,1.369120872,27,0.00%,6.647,0.493,1.343670015,17,0.00%,0,,,1.387,2.166,-0.72,31,3.789,Noun,0,0,0,633.97,1401.4,767.43,1968.64,AsymmetricalSameHandshape,Hand,PalmBack,imrp,3,BackAndForth,750,19,2,78,216,24,455,88,354,34,,D,47,2,0
excuse,excuse,4.269,1.71,0.07690419,26,0.00%,4.313,1.448,0.048058728,16,0.00%,0,,,1.667,2.009,-0.663,24,4.274,Noun,0,0,0,567.23,1267.94,700.7,1935.27,AsymmetricalDifferentHandshape,Hand,FingerFront,imrp,3,BackAndForth,762,35,2,178,216,12,455,88,354,34,,D,52,3,0
exercise,exercise,4.9,1.348,0.294847569,30,0.00%,5.111,1.367,0.326616155,18,0.00%,0,,,4.7,1.921,0.927,30,2.957,Noun,0,0,0,533.87,967.63,433.77,2135.47,SymmetricalOrAlternating,Body,Clavicle,imrp,7,BackAndForth,742,25,6,332,100,41,455,82,354,72,,C,84,1,0
